title                                            	seller     	itemid      	买家  	买家等级                                      	价格	数量	时间                 	套餐            	买家vip                                                                      
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	苏**c	http://img.alicdn.com/newrank/b_red_5.gif 	  	1 	2016-01-09 21:11:50	颜色分类:黑色套餐:套餐七 	<img src="//img.alicdn.com/tps/i4/T1FHuIXcNkXXXXXXXX-16-16.png" alt="V2会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	e**l	http://img.alicdn.com/newrank/b_blue_2.gif	  	1 	2016-01-09 20:22:32	颜色分类:黑色套餐:套餐六 	<img src="//img.alicdn.com/tps/i1/T1GYuIXcRkXXXXXXXX-16-16.png" alt="V3会员">
[旗舰店] Canon/佳能 EOS 700D 双镜头单反相机套机 送单肩摄影包         	佳能官方旗舰店    	44976761248 	脚**3	http://img.alicdn.com/newrank/b_blue_2.gif	  	1 	2016-01-26 14:45:29	颜色分类:黑色套餐:官方标配	<img src="//img.alicdn.com/tps/i2/T1HbuIXcNkXXXXXXXX-16-16.png" alt="V4会员">
[旗舰店] Canon/佳能 EOS 700D 双镜头单反相机套机 送单肩摄影包         	佳能官方旗舰店    	44976761248 	骑**0	http://img.alicdn.com/newrank/b_blue_1.gif	  	1 	2016-01-20 10:07:29	颜色分类:黑色套餐:官方标配	<img src="//img.alicdn.com/tps/i2/T1HbuIXcNkXXXXXXXX-16-16.png" alt="V4会员">
[旗舰店] Canon/佳能 EOS 700D 双镜头单反相机套机 送单肩摄影包         	佳能官方旗舰店    	44976761248 	柔**漫	http://img.alicdn.com/newrank/b_blue_1.gif	  	1 	2016-01-18 19:20:00	颜色分类:黑色套餐:官方标配	<img src="//img.alicdn.com/tps/i2/T1HbuIXcNkXXXXXXXX-16-16.png" alt="V4会员">
[旗舰店] Canon/佳能 EOS 700D 双镜头单反相机套机 送单肩摄影包         	佳能官方旗舰店    	44976761248 	t**7	http://img.alicdn.com/newrank/b_red_5.gif 	  	1 	2015-12-31 17:59:14	颜色分类:黑色套餐:官方标配	<img src="//img.alicdn.com/tps/i1/T1GYuIXcRkXXXXXXXX-16-16.png" alt="V3会员">
Canon/佳能700d 18-55 stm套机700D小套 佳能入门单反相机 包邮       	启邦数码专营店    	520173021982	云**1	http://img.alicdn.com/newrank/b_red_1.gif 	  	1 	2016-01-16 16:17:57	颜色分类:黑色套餐:官方标配	<img src="//img.alicdn.com/tps/i3/T1GbuIXcNkXXXXXXXX-16-16.png" alt="V5会员">
Canon/佳能700d 18-55 stm套机700D小套 佳能入门单反相机 包邮       	启邦数码专营店    	520173021982	云**1	http://img.alicdn.com/newrank/b_red_1.gif 	  	1 	2016-01-11 17:42:10	颜色分类:黑色套餐:官方标配	<img src="//img.alicdn.com/tps/i3/T1GbuIXcNkXXXXXXXX-16-16.png" alt="V5会员">
Canon/佳能700d 18-55 stm套机700D小套 佳能入门单反相机 包邮       	启邦数码专营店    	520173021982	吕**9	http://img.alicdn.com/newrank/b_blue_1.gif	  	1 	2016-01-08 09:48:58	颜色分类:黑色套餐:套餐六 	<img src="//img.alicdn.com/tps/i1/T1GYuIXcRkXXXXXXXX-16-16.png" alt="V3会员">
Canon/佳能700d 18-55 stm套机700D小套 佳能入门单反相机 包邮       	启邦数码专营店    	520173021982	一**度	http://img.alicdn.com/newrank/b_blue_2.gif	  	1 	2016-01-06 14:32:17	颜色分类:黑色套餐:官方标配	<img src="//img.alicdn.com/tps/i1/T1pHyIXalkXXXXXXXX-16-16.png" alt="V6会员">
Canon/ EOS 700D单机 入门单反 佳能700D 机身                 	讯通数码专营     	520917263364	f**i	http://img.alicdn.com/newrank/b_blue_2.gif	  	1 	2016-01-13 12:18:29	颜色分类:黑色套餐:官方标配	<img src="//img.alicdn.com/tps/i3/T1GbuIXcNkXXXXXXXX-16-16.png" alt="V5会员">
【蚂蚁摄影】Canon/佳能 700D 18-55套机单反数码相机联保行货            	蚂蚁数码专营店    	520951779438	何**多	http://img.alicdn.com/newrank/b_blue_1.gif	  	1 	2016-01-26 12:39:01	颜色分类:黑色套餐:套餐三 	<img src="//img.alicdn.com/tps/i2/T1HbuIXcNkXXXXXXXX-16-16.png" alt="V4会员">
